FullTranslation,FullOriginal,Artist,Song Name,ISO 639-1 Language Code
"You are the one who understands him, send him my greetings, greet him",إنت يللي بتفهم عليه، سلّملي عليه، سلّم,Fairuz,Sallimleh Alayh,en
Tell him that his eyes can't be forgot suddenly,قله عيونه مش فجأة بينتسوا,Fairuz,Sallimleh Alayh,en
And the laughter of his eyes is constant and can't be incomplete,وضحكات عيونه ثابتين ما بينقصوا,Fairuz,Sallimleh Alayh,en
I don't know how is he doing and i know,مدري شو بو، وبعرف شو بو,Fairuz,Sallimleh Alayh,en
It is engraved in his memory. Don't search for,مطبوعة بذاكرته، ما تبحثوا، عم تبحثوا,Fairuz,Sallimleh Alayh,en
"Don't search, don't search, don't search",ما تبحثوا، ما تبحثو، ماتبحثوا,Fairuz,Sallimleh Alayh,en
"Greet him, and tell him I am greeting him",سلّملي عليه، وقله إني بسلّم عليه,Fairuz,Sallimleh Alayh,en
Thats my love thats i keep whispering his name to myself,هيدا حبيبي، اللي اسمي بيهمسه,Fairuz,Sallimleh Alayh,en
Tired from his silence and studied him,تعبان على سكوته ودارسه,Fairuz,Sallimleh Alayh,en
"It's obvious what's wrong with him, don't say what's wrong with him",واضح شو بو، ما تقول شو بو,Fairuz,Sallimleh Alayh,en
Pretend that you don't know,اعمل حالك مش عارف,Fairuz,Sallimleh Alayh,en
"Don't tease him, teasing, don't tease him",ما تحرقصوا، بتحرقصوا ما تحرقصوا,Fairuz,Sallimleh Alayh,en
"Don't tease him, don't tease him",ما تحرقصوا، ما تحرقصوا,Fairuz,Sallimleh Alayh,en
"Kiss his eyes, and he has them opened",بوّسلي عينيه، هو ومفتحهن عينيه,Fairuz,Sallimleh Alayh,en
"And a kiss on a cheek and spend a long time with him, you understood me yeah, greet him",و بوسه بخده و طوّللي عليه، فهمت علي كيف سلّم,Fairuz,Sallimleh Alayh,en
"And I'm singing the doctrine, and when i sing answer him",أنا عم غني المذهب، و لما بغني ردوا عليه,Fairuz,Sallimleh Alayh,en
"And it's the same doctrine, and if you can add to it",وبعده نفسه المذهب، ولولا قدرتوا زيدوا عليه,Fairuz,Sallimleh Alayh,en
"And go back to repeating the chorus, greet him for me",وعودوا تبقوا عيدوا الكوبليه، سلّملي عليه سلّم,Fairuz,Sallimleh Alayh,en
"Send him my greetings, greet him",سلّملي عليه سلّم,Fairuz,Sallimleh Alayh,en
"Send my greeting to him and tell him that i am sending my greetings
Kiss his eyes and tell him that i am kissing his eyes
You are the one who understands him, send him my greetings, greet him
Send my greeting to him and tell him that i am sending my greetings
Kiss his eyes and tell him that i am kissing his eyes
You are the one who understands him, send him my greetings, greet him

Tell him that his eyes can't be forgot suddenly
And the laughter of his eyes is constant and can't be incomplete
Tell him that his eyes can't be forgot suddenly
And the laughter of his eyes is constant and can't be incomplete
I don't know how is he doing and i know
It is engraved in his memory. Don't search for
Don't search, don't search, don't search

Greet him, and tell him I am greeting him
Kiss his eyes and tell him that i am kissing his eyes
You are the one who understands him, send him my greetings, greet him

Thats my love thats i keep whispering his name to myself
Tired from his silence and studied him
Thats my love thats i keep whispering his name to myself
Tired from his silence and studied him
It's obvious what's wrong with him, don't say what's wrong with him
Pretend that you don't know
Don't tease him, teasing, don't tease him
Don't tease him, don't tease him

Greet him, and tell him I am greeting him
Kiss his eyes, and he has them opened
And a kiss on a cheek and spend a long time with him, you understood me yeah, greet him
Greet him, and tell him I am greeting him
Kiss his eyes and tell him that i am kissing his eyes
You are the one who understands him, send him my greetings, greet him

And I'm singing the doctrine, and when i sing answer him
And it's the same doctrine, and if you can add to it
And go back to repeating the chorus, greet him for me
Send him my greetings, greet him
Send him my greetings, greet him","سلّملي عليه، وقله إني بسلم عليه
بوّسلي عينيه، وقله إني ببوّس عينيه
إنت يللي بتفهم عليه، سلّملي عليه، سلّم
سلّملي عليه، وقله إني بسلم عليه
بوّسلي عينيه، وقله إني ببوّس عينيه
إنت يللي بتفهم عليه، سلّملي عليه، سلّم

قله عيونه مش فجأة بينتسوا
وضحكات عيونه ثابتين ما بينقصوا
قله عيونه مش فجأة بينتسوا
وضحكات عيونه ثابتين ما بينقصوا
مدري شو بو، وبعرف شو بو
مطبوعة بذاكرته، ما تبحثوا، عم تبحثوا
ما تبحثوا، ما تبحثو، ماتبحثوا

سلّملي عليه، وقله إني بسلّم عليه
بوّسلي عينيه، وقله إني ببوّس عينيه
إنت يللي بتفهم عليه، سلّملي عليه، سلّم

هيدا حبيبي، اللي اسمي بيهمسه
تعبان على سكوته ودارسه
هيدا حبيبي، اللي اسمي بيهمسه
تعبان على سكوته ودارسه
واضح شو بو، ما تقول شو بو
اعمل حالك مش عارف
ما تحرقصوا، بتحرقصوا ما تحرقصوا
ما تحرقصوا، ما تحرقصوا

سلّملي عليه، وقله إني بسلّم عليه
بوّسلي عينيه، هو ومفتحهن عينيه
و بوسه بخده و طوّللي عليه، فهمت علي كيف سلّم
سلّملي عليه، وقله إني بسلّم عليه
بوّسلي عينيه، وقله إني ببوّس عينيه
إنت يللي بتفهم عليه، سلّملي عليه، سلّم

أنا عم غني المذهب، و لما بغني ردوا عليه
وبعده نفسه المذهب، ولولا قدرتوا زيدوا عليه
وعودوا تبقوا عيدوا الكوبليه، سلّملي عليه سلّم
سلّملي عليه سلّم
سلّملي عليه سلّم",Fairuz,Sallimleh Alayh,en
,"حبيتك تنسيت النوم وياخوفي تنساني
حابسني برّات النوم وتاركني سهرانة
أنا حبيتك حبيتك انا حبيتك حبيتك

حبيتك تنسيت النوم وياخوفي تنساني
حابسني برّات النوم وتاركني سهرانة
أنا حبيتك حبيتك انا حبيتك حبيتك

حبيتك تنسيت النوم وياخوفي تنساني
حابسني برّات النوم وتاركني سهرانة
أنا حبيتك حبيتك انا حبيتك حبيتك

بشتقلك لابقدر شوفك ولابقدر أحكيك
بندهلك خلف الطرقات وخلف الشبابيك
بشتقلك لابقدر شوفك ولابقدر أحكيك
بندهلك خلف الطرقات وخلف الشبابيك

بجرّب أنّي أنسى بتسرق النسيان
وبفتكر لاقيتك رجعلي اللي كان
بجرّب أنّي أنسى بتسرق النسيان
وبفتكر لاقيتك رجعلي اللي كان

وتضيع مني كل مالقيتك
حبيتك حبيتك انا حبيتك حبيتك

حبيتك تنسيت النوم وياخوفي تنساني
حابسني برّات النوم وتاركني سهرانة
أنا حبيتك حبيتك انا حبيتك حبيتك

ياخوفي أبقى حبّك بالأيام اللي جاية
وأتهرّب من نسيانك ما أتطلع بمراية
انا انا خوفي أبقى حبّك بالأيام اللي جاية
وأتهرّب من نسيانك ما أتطلع بمراية

حبسي أنت، أنت حبسي وحريتي أنت
وأنت اللي بكرهو واللي بحبو أنت
ياريت ما سهرت وغفيتك
حبيتك حبيتك انا حبيتك حبيتك

حبيتك تنسيت النوم وياخوفي تنساني
حابسني برّات النوم وتاركني سهرانة
أنا حبيتك حبيتك انا حبيتك حبيتك
انا حبيتك تنسيت النوم وياخوفي تنساني
حابسني برّات النوم وتاركني سهرانة
أنا حبيتك حبيتك انا حبيتك حبيتك",Fairuz,Habaitak Ta Neseet Al Naoum,en
,"(نسم علينا الهوا، من مفرق الوادي)
(يا هوا دخل الهوا، خدني على بلادي)

نسم علينا الهوا، من مفرق الوادي
يا هوا دخل الهوا، خدني على بلادي
(نسم علينا الهوا، من مفرق الوادي)
(يا هوا دخل الهوا، خدني على بلادي)

يا هوا، يا هوا، يا اللي طاير بالهوا
في منتورة طاقة وصورة
خدني لعندن يا هوا

(يا هوا) يا هوا، (يا اللي طاير) بالهوا
في منتورة طاقة وصورة
خدني لعندن يا هوا

فزعانة يا قلبي، أكبر بهالغربة
ما تعرفني بلادي، خدني، خدني
خدني على بلادي

(نسم علينا الهوا، من مفرق الوادي) آه
(يا هوا دخل الهوا، خدني على بلادي)

شو بنا شو بنا؟ يا حبيبي شو بنا؟
كنت وكنا تضلو عنا وإفترقنا، شو بنا؟
(شو بنا) شو بنا؟ (يا حبيبي) شو بنا؟
كنت وكنا تضلو عنا وإفترقنا، شو بنا؟

وبعدها الشمس بتبكي ع الباب وما تحكي
ويحكي هوا بلادي، خدني، خدني
خدني على بلادي

نسم علينا (الهوا من مفرق الوادي)
يا هوا (دخل الهوا، خدني على بلادي)
آه نسم علينا الهوا، من مفرق الوادي
يا هوا دخل الهوا، خدني على بلادي",Fairuz,Nasem Alayna Alhawa,en
"We and the moon are neighbors, its house lies behind our hills",نحنا والقمر جيران، بيته خلف تلالنا,Fairuz,Nehna Wl Amar Jiran,en
It comes out in front of us and listens to the melodies,بيطلع من قبالنا بيسمع الألحان,Fairuz,Nehna Wl Amar Jiran,en
"We and the moon are neighbors, it knows of our trysts",نحنا والقمر جيران عارف مواعيدنا,Fairuz,Nehna Wl Amar Jiran,en
It leaves on our rooftiles the prettiest of colours,وتارك بقرميدنا أجمل الألوان,Fairuz,Nehna Wl Amar Jiran,en
And how we stayed up with it on many tranquil nights with contented sighs,وياما سهرنا معه بليل الهنا مع النهدات,Fairuz,Nehna Wl Amar Jiran,en
And how we spelled out love on its rise and many stories,وياما على مطلعه شرحنا الهوى وغوى حكايات,Fairuz,Nehna Wl Amar Jiran,en
We and the moon are neighbors when it came to visit us and on the arches of our homes,نحنا والقمر جيران لما طل وزارنا ع قناطر دارنا,Fairuz,Nehna Wl Amar Jiran,en
It scattered corals,رشرش المرجان,Fairuz,Nehna Wl Amar Jiran,en
"O neighbor of the moon, the most beautiful song",يا جارة القمر يا أحلى غنية,Fairuz,Nehna Wl Amar Jiran,en
"O neighbor of the moon, a wave through this night",يا جارة القمر موجي بهالسهرية,Fairuz,Nehna Wl Amar Jiran,en
Songs and memories (ah-ah-ah-ah) and sweet sleepless nights (ah-ah-ah-ah),غناني وذكر (آه-آه-آه)، حب وسهر (آه-آه-آه),Fairuz,Nehna Wl Amar Jiran,en
Night of love kept you up o neighbor of the moon (ah-ah-ah-ah-ah-ah),ليل الهوى سهراتك يا جارة القمر (آه-آه-آه-آه-آه-آه),Fairuz,Nehna Wl Amar Jiran,en
We and the moon are neighbors (neighbors),نحنا والقمر جيران (جيران),Fairuz,Nehna Wl Amar Jiran,en
"We and the moon are neighbors, its house lies behind our hills
It comes out in front of us and listens to the melodies
We and the moon are neighbors, it knows of our trysts
It leaves on our rooftiles the prettiest of colours

And how we stayed up with it on many tranquil nights with contented sighs
And how we spelled out love on its rise and many stories
We and the moon are neighbors when it came to visit us and on the arches of our homes
It scattered corals

O neighbor of the moon, the most beautiful song
O neighbor of the moon, a wave through this night
Songs and memories (ah-ah-ah-ah) and sweet sleepless nights (ah-ah-ah-ah)
Night of love kept you up o neighbor of the moon (ah-ah-ah-ah-ah-ah)

We and the moon are neighbors (neighbors)
We and the moon are neighbors (neighbors)

And how we stayed up with it on many tranquil nights with contented sighs
And how we spelled out love on its rise and many stories
We and the moon are neighbors when it came to visit us and on the arches of our homes
It scattered corals","نحنا والقمر جيران، بيته خلف تلالنا
بيطلع من قبالنا بيسمع الألحان
نحنا والقمر جيران عارف مواعيدنا
وتارك بقرميدنا أجمل الألوان

وياما سهرنا معه بليل الهنا مع النهدات
وياما على مطلعه شرحنا الهوى وغوى حكايات
نحنا والقمر جيران لما طل وزارنا ع قناطر دارنا
رشرش المرجان

يا جارة القمر يا أحلى غنية
يا جارة القمر موجي بهالسهرية
غناني وذكر (آه-آه-آه)، حب وسهر (آه-آه-آه)
ليل الهوى سهراتك يا جارة القمر (آه-آه-آه-آه-آه-آه)

نحنا والقمر جيران (جيران)
نحنا والقمر جيران (جيران)

وياما سهرنا معه بليل الهنا مع النهدات
وياما على مطلعه شرحنا الهوى وغوى حكايات
نحنا والقمر جيران لما طل وزارنا ع قناطر دارنا
رشرش المرجان",Fairuz,Nehna Wl Amar Jiran,en
Fairuz . O bird,فيروز . يا طَير,Fairuz,Ya tayr,en
"""""""""""","""""""""""",Fairuz,Ya tayr,en
Ouf,أوف,Fairuz,Ya tayr,en
"Ouf ouf, ouf father",أوف أوف، أوف يابا,Fairuz,Ya tayr,en
"O bird,  O bird flying over the edges the world,",يا طير، يا طاير على أطراف الدّني,Fairuz,Ya tayr,en
If you could tell my beloved what is wrong with me,لو فيك تحكي للحبايب شو بِني,Fairuz,Ya tayr,en
"O bird, O bird",يا طير، يا طير,Fairuz,Ya tayr,en
Go ask them about the one who is without his partner,روح إسألن عاللّي وليفُه مش معُه,Fairuz,Ya tayr,en
"Afflicted by the wounds of love, what avails him",و مجروح بجروح الهوى شو بينفعُه,Fairuz,Ya tayr,en
"Anguished, but he never speaks of what ails him",موجوع ما بيقول عاللّي بيوجعُه,Fairuz,Ya tayr,en
And reminisces about the childhood days,و تعن عبالُه ليالي الولدني,Fairuz,Ya tayr,en
O bird,يا طير,Fairuz,Ya tayr,en
O bird that travels with the color of the trees,يا طير و آخد معك لون الشّجر,Fairuz,Ya tayr,en
There's nothing left but the wait and ennui,ما عاد فيه إلّا هالنّطرة و الضّجر,Fairuz,Ya tayr,en
I wait beneath the sun on a cold stone,بنطُر بعين الشمس عبرد الحجر,Fairuz,Ya tayr,en
"Perplexed, and the great distance disables me",و ملبّكة و إيد الفراق تهدّني,Fairuz,Ya tayr,en
I swear upon your feathers and the rest of  my days,و حياة ريشاتك و أيّامي سوى,Fairuz,Ya tayr,en
I swear upon the thistle flower and the rise of the wind,و حياة زهر الشّوك و هبوب الهوى,Fairuz,Ya tayr,en
"If you're calling on them, my love is insufferable",كأنّك لعندن رايح و جنّ الهوى,Fairuz,Ya tayr,en
"Take me with you, if only for a moment and bring me back",خِذني و لنّوشي دقيقة و ردّني,Fairuz,Ya tayr,en
"Ouf ouf, ouf ouf",أوف أوف، أوف أوف,Fairuz,Ya tayr,en
Ouf ouf,أوف أوف,Fairuz,Ya tayr,en
"Fairuz . O bird
""""""""""
Ouf
Ouf ouf, ouf father

O bird,  O bird flying over the edges the world,
If you could tell my beloved what is wrong with me
O bird, O bird

Go ask them about the one who is without his partner
Afflicted by the wounds of love, what avails him
Anguished, but he never speaks of what ails him
And reminisces about the childhood days

O bird
O bird,  O bird flying over the edges the world,
If you could tell my beloved what is wrong with me
O bird, O bird
""""""""""
O bird that travels with the color of the trees
There's nothing left but the wait and ennui
I wait beneath the sun on a cold stone
Perplexed, and the great distance disables me

O bird
O bird,  O bird flying over the edges the world,
If you could tell my beloved what is wrong with me
O bird, O bird
""""""""""
I swear upon your feathers and the rest of  my days
I swear upon the thistle flower and the rise of the wind
If you're calling on them, my love is insufferable
Take me with you, if only for a moment and bring me back

O bird
O bird,  O bird flying over the edges the world,
If you could tell my beloved what is wrong with me
O bird, O bird

Ouf ouf, ouf ouf
Ouf ouf","فيروز . يا طَير
""""""""""
أوف
أوف أوف، أوف يابا

يا طير، يا طاير على أطراف الدّني
لو فيك تحكي للحبايب شو بِني
يا طير، يا طير

روح إسألن عاللّي وليفُه مش معُه
و مجروح بجروح الهوى شو بينفعُه
موجوع ما بيقول عاللّي بيوجعُه
و تعن عبالُه ليالي الولدني

يا طير
يا طير، يا طاير على أطراف الدّني
لو فيك تحكي للحبايب شو بِني
يا طير، يا طير
""""""""""
يا طير و آخد معك لون الشّجر
ما عاد فيه إلّا هالنّطرة و الضّجر
بنطُر بعين الشمس عبرد الحجر
و ملبّكة و إيد الفراق تهدّني

يا طير
يا طير، يا طاير على أطراف الدّني
لو فيك تحكي للحبايب شو بِني
يا طير، يا طير
""""""""""
و حياة ريشاتك و أيّامي سوى
و حياة زهر الشّوك و هبوب الهوى
كأنّك لعندن رايح و جنّ الهوى
خِذني و لنّوشي دقيقة و ردّني

يا طير
يا طير، يا طاير على أطراف الدّني
لو فيك تحكي للحبايب شو بِني
يا طير، يا طير

أوف أوف، أوف أوف
أوف أوف",Fairuz,Ya tayr,en
,"كــان الزمان وكان فى دكانة بالحي
وبنيات وصبيان نجى نلعب عالمي
يبقى حنا السكران قاعد خلف الدكان
يغنى وتحزن بنت الجيران
اوعي تنسيني
اوعي تنسيني
وتذكري حنا السكران

نـــحنا والعصافير كنا بــــــالحي ندور
صوب الدكانة نطير حاملين غمار زهور
ويبقى حنا السكران ملهي وعلى الحيطان
عم بيصور بنت الجيران

حلوة بنت الجيران راحت بليلة عيد
وانـــهدت الدكان واتعمر بيت جديد
وبعده حنا السكران على حيطان النسيان
عم بيصور بنت الجيران",Fairuz,Kan Zaman,en
,"كان غير شكل الزيتون
كان غير شكل الصابون
و حتى انت يا حبيبي مش كاين هيك تكون
كان غير شكل الزيتون
كان غير شكل الصابون
و حتى انت يا حبيبي مش كاين هيك تكون

كان غير شكل الليمون
كان غير شكل اليانسون
وكاين انت يا حبيبي مش كاين هيك تكون
يا ضيعانون راحوا شو ما صار لكن راحوا
يا ضيعانون راحوا شو ما صار لكن راحوا
مش سامع غنية راحوا

كان اوسع هالصالون
كان اشرح هالبلكون
وطبعا انت يا حبيبي حبك كان قد الكون
كان اوسع هالصالون
كان اشرح هالبلكون
وطبعا انت يا حبيبي حبك كان قد الكون

شو كان اهدا الكميون
طالع دغري وموزون
حتى عيونك يا حبيبي كان عندك غير عيون
يا ضيعانون راحوا شو ما صار لكن راحوا
يا ضيعانون راحوا شو ما صار لكن راحوا
مش سامع غنية راحوا

كان غير شكل الزيتون

كان يبقى الحب جنون
ويخلص بحرف النون
ومش كل انسانة بتمرق تفرق و تصير بتمون
كان يبقى الحب جنون
وويخلص بحرفالنون
ومش كل انسانة تمرق تفرق وتصير بتمون

كاين رقي و حنون
ومايل على الغصون
واذا هلق حبك غير ريتو عمرو ما يكون
ريتو عمرو مايكون
ريتو عمرو مايكون
ريتو عمرو مايكون
ريتو عمرو مايكون",Fairuz,Mish Kayan Hayek T'Koun,en
,"أنا صار لازم ودعكن و خبركن عني
أنا كل القصة لو منكن ما كنت بغني
أنا صار لازم ودعكن و خبركن عني
أنا كل القصة لو منكن ما كنت بغني
غنينا أغاني عوراق غنية لواحد مشتاق
و دايمن بالأخر في أخر في وقت فراق
في وقت فراق
أنا صار لازم ودعكن و خبركن عني
أنا كل القصة لو منكن ما كنت بغني
غنينا أغاني عوراق غنية لواحد مشتاق
و دايمن بالأخر في أخر في وقت فراق
في وقت فراق
يا جماعة لازم خبركن هالقصة عني
أنا كل شي بقولو عم حسو و عم يطلع مني
موسيقيي دقو و فلو و العالم صارو يقلو
و دايمن في الأخر في أخر في وقت فراق
بكرا برجع بوقف معكن اذا مش بكرا البعدو أكيد
أنتو أحكوني و أنا بسمعكن حتى لو للصوت بعيد
بكرا برجع بوقف معكن اذا مش بكرا البعدو أكيد
أنتو أحكوني و أنا بسمعكن حتى لو للصوت بعيد
بلا موسيقتنا الليلة حزينة بلا غنية اليلة بتطول
كل ليلة بغني بمدينة و بحمل صوتي و بمشي عطول
بكرا برجع بوقف معكن اذا مش بكرا البعدو أكيد
أنتو أحكوني و أنا بسمعكن حتى لو للصوت بعيد
بكرا برجع بوقف معكن اذا مش بكرا البعدو أكيد
أنتو أحكوني و أنا بسمعكن حتى لو للصوت بعيد
و لا غنية نفعت معنا و لا كلمة الا شي حزين
اذا ما بكينا و لا دمعنا لا تفتكرو فرحانيين
بكرا برجع بوقف معكن اذا مش بكرا البعدو أكيد
أنتو أحكوني و أنا بسمعكن حتى لو للصوت بعيد
حتى لو للصوت بعيد
حتى لو للصوت بعيد",Fairuz,Oghniat Al Wadaa,en
i left love and i took sadness,تركت الحب واخدت الاسى,Fairuz,Sabah wu masaa,en
"there is alot of people, but not like him",في ناس كتير لكن بيصير مافي غيرو,Fairuz,Sabah wu masaa,en
my lover was here and there isn't anyone like him,حبيبي كان هني وسهيان مافي غيرو,Fairuz,Sabah wu masaa,en
he handled me for years .,حملني سنين منن هينن كتر خيرو,Fairuz,Sabah wu masaa,en
"my lover is okay, he is tired from me",حبيبي منيح لشو التجريح تعب مني,Fairuz,Sabah wu masaa,en
"i never understood, he handled me",انا اللى كنت ما بفهم انت حمل عني,Fairuz,Sabah wu masaa,en
you only,بس انت انت وبس,Fairuz,Sabah wu masaa,en
"
i left love and i took sadness

i left love and i took sadness


there is alot of people, but not like him

there is alot of people, but not like him


i left love and i took sadness

my lover was here and there isn't anyone like him
he handled me for years .
my lover was here and there isn't anyone like him
he handled me for years .


i left love and i took sadness

my lover is okay, he is tired from me
i never understood, he handled me
my lover is okay, he is tired from me
i never understood, he handled me


i left love and i took sadness



you only
you only
you only
you only
you only
you only","صباح ومسا شي ما بينتسى
تركت الحب واخدت الاسى
صباح ومسا شي ما بينتسى
تركت الحب واخدت الاسى

شو بدي دور لشو عم دور على غيرو
في ناس كتير لكن بيصير مافي غيرو
شو بدي دور لشو عم دور على غيرو
في ناس كتير لكن بيصير مافي غيرو

صباح ومسا شي ما بينتسى
تركت الحب واخذت الاسى

حبيبي كان هني وسهيان مافي غيرو
حملني سنين منن هينن كتر خيرو
حبيبي كان هني وسهيان مافي غيرو
حملني سنين منن هينن كتر خيرو

صباح ومسا شي ما بينتسى
تركت الحب واخذت الاسى

حبيبي منيح لشو التجريح تعب مني
انا اللى كنت ما بفهم انت حمل عني
حبيبي منيح لشو التجريح تعب مني
انا اللى كنت ما بفهم انت حمل عني

صباح ومسا شي ما بينتسى
تركت الحب واخذت الاسى
لعل وعسى اترك هال أسى
ويرجعلي حبي صباح ومسى

بس انت انت وبس
بس انت انت وبس
بس انت انت وبس
بس انت انت وبس
بس انت انت وبس
بس انت انت وبس",Fairuz,Sabah wu masaa,en
